country,flag,map,tags
Fiji,"<img src=""ug-flag-fiji.svg"" />","<img src=""ug-map-fiji.png"" />","UG::Oceania, UG::Sovereign_State, basic"
Papua New Guinea,"<img src=""ug-flag-papua_new_guinea.svg"" />","<img src=""ug-map-papua_new_guinea.png"" />","UG::Oceania, UG::Sovereign_State, basic"
Australia,"<img src=""ug-flag-australia.svg"" />","<img src=""ug-map-australia.png"" />","UG::Oceania, UG::Sovereign_State, basic"
Solomon Islands,"<img src=""ug-flag-solomon_islands.svg"" />","<img src=""ug-map-solomon_islands.png"" />","UG::Oceania, UG::Sovereign_State, basic"
Argentina,"<img src=""ug-flag-argentina.svg"" />","<img src=""ug-map-argentina.png"" />","UG::South_America, UG::Sovereign_State, basic"
Bolivia,"<img src=""ug-flag-bolivia-blur.png"" /><img src=""ug-flag-bolivia.png"" />","<img src=""ug-map-bolivia.png"" />","UG::South_America, UG::Sovereign_State, basic"
Brazil,"<img src=""ug-flag-brazil.svg"" />","<img src=""ug-map-brazil.png"" />","UG::South_America, UG::Sovereign_State, basic"
Chile,"<img src=""ug-flag-chile.svg"" />","<img src=""ug-map-chile.png"" />","UG::South_America, UG::Sovereign_State, basic"
Colombia,"<img src=""ug-flag-colombia.svg"" />","<img src=""ug-map-colombia.png"" />","UG::South_America, UG::Sovereign_State, basic"
Ecuador,"<img src=""ug-flag-ecuador.png"" />","<img src=""ug-map-ecuador.png"" />","UG::South_America, UG::Sovereign_State, basic"
Guyana,"<img src=""ug-flag-guyana.svg"" />","<img src=""ug-map-guyana.png"" />","UG::South_America, UG::Sovereign_State"
Paraguay,"<img src=""ug-flag-paraguay-blur.svg"" /><img src=""ug-flag-paraguay.svg"" />","<img src=""ug-map-paraguay.png"" />","UG::South_America, UG::Sovereign_State, basic"
Peru,"<img src=""ug-flag-peru.png"" />","<img src=""ug-map-peru.png"" />","UG::South_America, UG::Sovereign_State, basic"
Suriname,"<img src=""ug-flag-suriname.svg"" />","<img src=""ug-map-suriname.png"" />","UG::South_America, UG::Sovereign_State"
Uruguay,"<img src=""ug-flag-uruguay.svg"" />","<img src=""ug-map-uruguay.png"" />","UG::South_America, UG::Sovereign_State, basic"
Venezuela,"<img src=""ug-flag-venezuela.png"" />","<img src=""ug-map-venezuela.png"" />","UG::South_America, UG::Sovereign_State, basic"
Cook Islands,"<img src=""ug-flag-cook_islands.svg"" />","<img src=""ug-map-cook_islands.png"" />","UG::Oceania, UG::Sovereign_State"
Federated States of Micronesia,"<img src=""ug-flag-federated_states_of_micronesia.svg"" />","<img src=""ug-map-federated_states_of_micronesia.png"" />","UG::Oceania, UG::Sovereign_State"
Guam,"<img src=""ug-flag-guam-blur.svg"" /><img src=""ug-flag-guam.svg"" />","<img src=""ug-map-guam.png"" />",UG::Oceania
Vanuatu,"<img src=""ug-flag-vanuatu.svg"" />","<img src=""ug-map-vanuatu.png"" />","UG::Oceania, UG::Sovereign_State"
Canada,"<img src=""ug-flag-canada.svg"" />","<img src=""ug-map-canada.png"" />","UG::North_America, UG::Sovereign_State, basic"
United States of America,"<img src=""ug-flag-united_states_of_america.svg"" />","<img src=""ug-map-united_states_of_america.png"" />","UG::North_America, UG::Sovereign_State, basic"
Mexico,"<img src=""ug-flag-mexico.png"" />","<img src=""ug-map-mexico.png"" />","UG::North_America, UG::Sovereign_State, basic"
Puerto Rico,"<img src=""ug-flag-puerto_rico.svg"" />","<img src=""ug-map-puerto_rico.png"" />","UG::Caribbean, UG::North_America"
Cuba,"<img src=""ug-flag-cuba.svg"" />","<img src=""ug-map-cuba.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Dominican Republic,"<img src=""ug-flag-dominican_republic.png"" />","<img src=""ug-map-dominican_republic.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Haiti,"<img src=""ug-flag-haiti.svg"" />","<img src=""ug-map-haiti.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Jamaica,"<img src=""ug-flag-jamaica.svg"" />","<img src=""ug-map-jamaica.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Trinidad and Tobago,"<img src=""ug-flag-trinidad_and_tobago.svg"" />","<img src=""ug-map-trinidad_and_tobago.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Bermuda,,"<img src=""ug-map-bermuda.png"" />","UG::Caribbean, UG::North_America"
Guadeloupe,,"<img src=""ug-map-guadeloupe.png"" />","UG::Caribbean, UG::North_America"
The Bahamas,"<img src=""ug-flag-the_bahamas.svg"" />","<img src=""ug-map-the_bahamas.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Barbados,"<img src=""ug-flag-barbados.svg"" />","<img src=""ug-map-barbados.png"" />","UG::Caribbean, UG::North_America, UG::Sovereign_State, basic"
Belize,"<img src=""ug-flag-belize.png"" />","<img src=""ug-map-belize.png"" />","UG::North_America, UG::Sovereign_State, basic"
Costa Rica,"<img src=""ug-flag-costa_rica.png"" />","<img src=""ug-map-costa_rica.png"" />","UG::North_America, UG::Sovereign_State, basic"
